"id","part","m","int_t","target_n","beta_m","beta_s","v_sh","v_r","setup_r_a","setup_r_b","exp_t","thr"
1,1,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,2,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,3,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,4,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,5,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,6,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,7,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,8,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,9,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
1,10,10,0.2,352,1.79,0.0593,100,2000,200,40,6.86667384880899,8.24000861857078
40,1,30,0.5,788,1.79,0.0593,100,2000,1800,120,5.37778313717943,6.45333976461532
40,2,30,0.5,788,1.79,0.0593,100,2000,1800,120,5.37778313717943,6.45333976461532
40,3,30,0.5,788,1.79,0.0593,100,2000,1800,120,5.37778313717943,6.45333976461532
40,4,30,0.5,788,1.79,0.0593,100,2000,1800,120,5.37778313717943,6.45333976461532
40,5,30,0.5,788,1.79,0.0593,100,2000,1800,120,5.37778313717943,6.45333976461532
40,6,30,0.5,788,1.79,0.0593,100,2000,1800,120,5.37778313717943,6.45333976461532
40,7,30,0.5,788,1.79,0.0593,100,2000,1800,120,5.37778313717943,6.45333976461532
40,8,30,0.5,788,1.79,0.0593,100,2000,1800,120,5.37778313717943,6.45333976461532
40,9,30,0.5,788,1.79,0.0593,100,2000,1800,120,5.37778313717943,6.45333976461532
40,10,30,0.5,788,1.79,0.0593,100,2000,1800,120,5.37778313717943,6.45333976461532
75,1,10,0.5,352,2.954,0.2889,5,100,10,2,2.76000117665542,3.3120014119865
75,2,10,0.5,352,2.954,0.2889,5,100,10,2,2.76000117665542,3.3120014119865
75,3,10,0.5,352,2.954,0.2889,5,100,10,2,2.76000117665542,3.3120014119865
75,4,10,0.5,352,2.954,0.2889,5,100,10,2,2.76000117665542,3.3120014119865
75,5,10,0.5,352,2.954,0.2889,5,100,10,2,2.76000117665542,3.3120014119865
75,6,10,0.5,352,2.954,0.2889,5,100,10,2,2.76000117665542,3.3120014119865
75,7,10,0.5,352,2.954,0.2889,5,100,10,2,2.76000117665542,3.3120014119865
75,8,10,0.5,352,2.954,0.2889,5,100,10,2,2.76000117665542,3.3120014119865
75,9,10,0.5,352,2.954,0.2889,5,100,10,2,2.76000117665542,3.3120014119865
75,10,10,0.5,352,2.954,0.2889,5,100,10,2,2.76000117665542,3.3120014119865
76,1,30,0.5,352,2.954,0.2889,5,100,10,2,2.65330071922156,3.18396086306588
76,2,30,0.5,352,2.954,0.2889,5,100,10,2,2.65330071922156,3.18396086306588
76,3,30,0.5,352,2.954,0.2889,5,100,10,2,2.65330071922156,3.18396086306588
76,4,30,0.5,352,2.954,0.2889,5,100,10,2,2.65330071922156,3.18396086306588
76,5,30,0.5,352,2.954,0.2889,5,100,10,2,2.65330071922156,3.18396086306588
76,6,30,0.5,352,2.954,0.2889,5,100,10,2,2.65330071922156,3.18396086306588
76,7,30,0.5,352,2.954,0.2889,5,100,10,2,2.65330071922156,3.18396086306588
76,8,30,0.5,352,2.954,0.2889,5,100,10,2,2.65330071922156,3.18396086306588
76,9,30,0.5,352,2.954,0.2889,5,100,10,2,2.65330071922156,3.18396086306588
76,10,30,0.5,352,2.954,0.2889,5,100,10,2,2.65330071922156,3.18396086306588
92,1,30,0.5,352,2.954,0.2889,30,100,10,2,2.65330071922156,3.18396086306588
92,2,30,0.5,352,2.954,0.2889,30,100,10,2,2.65330071922156,3.18396086306588
92,3,30,0.5,352,2.954,0.2889,30,100,10,2,2.65330071922156,3.18396086306588
92,4,30,0.5,352,2.954,0.2889,30,100,10,2,2.65330071922156,3.18396086306588
92,5,30,0.5,352,2.954,0.2889,30,100,10,2,2.65330071922156,3.18396086306588
92,6,30,0.5,352,2.954,0.2889,30,100,10,2,2.65330071922156,3.18396086306588
92,7,30,0.5,352,2.954,0.2889,30,100,10,2,2.65330071922156,3.18396086306588
92,8,30,0.5,352,2.954,0.2889,30,100,10,2,2.65330071922156,3.18396086306588
92,9,30,0.5,352,2.954,0.2889,30,100,10,2,2.65330071922156,3.18396086306588
92,10,30,0.5,352,2.954,0.2889,30,100,10,2,2.65330071922156,3.18396086306588
